idx_i,userName_i,idx_j,userName_j,match
1551,adzyradzy,1550,AdamMetcalfe,1
1552,AdamSiu,1553,adamsiu,1
1553,adamsiu,1552,AdamSiu,1
1554,AdiMangunkusumo,1555,eugboni,1
1555,eugboni,1554,AdiMangunkusumo,1
1556,AdrianGasparoni,1557,crazybeats,1
1557,crazybeats,1556,AdrianGasparoni,1
1558,AdriannaAmato,1559,adriannaamato,1
1559,adriannaamato,1558,AdriannaAmato,1
1560,AdrielTan1,1561,adrieltan,1
1561,adrieltan,1560,AdrielTan1,1
1562,WhitneyWesley,1563,cafemochalady,1
1563,cafemochalady,1562,WhitneyWesley,1
1564,AranWhisper,1565,ai8192,1
1565,ai8192,1564,AranWhisper,1
1566,AjengRahmawati,1567,ajengrh,1
1567,ajengrh,1566,AjengRahmawati,1
1568,AJVoelpel,1569,ajvoelpel,1
1569,ajvoelpel,1568,AJVoelpel,1
1570,AlbertoBenaventeBazan,1571,corso,1
1571,corso,1570,AlbertoBenaventeBazan,1
1572,AlessandroFeliziani,1573,alessandrofeliziani,1
1573,alessandrofeliziani,1572,AlessandroFeliziani,1
1574,AlexisSmithF,1575,alexis_f2,1
1575,alexis_f2,1574,AlexisSmithF,1
1576,AlexTerrono,1577,hpfriendsaddict,1
1577,hpfriendsaddict,1576,AlexTerrono,1
1578,AlexToddyTodd,1579,alextoddytodd,1
1579,alextoddytodd,1578,AlexToddyTodd,1
1580,AlexanderYurasov,1581,alexyurasov,1
1581,alexyurasov,1580,AlexanderYurasov,1
1582,AlifMutashim,1583,tasheemalfahri,1
1583,tasheemalfahri,1582,AlifMutashim,1
1584,AlisaDamaso,1585,alisadamaso,1
1585,alisadamaso,1584,AlisaDamaso,1
1586,AlisonStripling,1587,alisonstripling,1
1587,alisonstripling,1586,AlisonStripling,1
1588,AlperKILIER,1589,alpertunga333,1
1589,alpertunga333,1588,AlperKILIER,1
1590,AntonioMartin,1591,skinned_man_,1
1591,skinned_man_,1590,AntonioMartin,1
1592,AnaBejaAnaBeja,1593,anafbeja,1
1593,anafbeja,1592,AnaBejaAnaBeja,1
1594,ANAMILINKOVICacct,1595,anamilinkovic,1
1595,anamilinkovic,1594,ANAMILINKOVICacct,1
1596,RizkiTriandari,1597,andarierizki,1
1597,andarierizki,1596,RizkiTriandari,1
1598,AndreaCallahan,1599,tenfacesofshe,1
1599,tenfacesofshe,1598,AndreaCallahan,1
1600,AndreaOrini,1601,paskord,1
1601,paskord,1600,AndreaOrini,1
1602,AndrewAlexander76,1603,apalexander,1
1603,apalexander,1602,AndrewAlexander76,1
1604,AndrewRich,1605,smartwatermelon,1
1605,smartwatermelon,1604,AndrewRich,1
1606,AndyPeor,1607,miradero,1
1607,miradero,1606,AndyPeor,1
1608,AndrewNeal,1609,kidsdirectorytulsa,1
1609,kidsdirectorytulsa,1608,AndrewNeal,1
1610,AngelClemente,1611,electro_cute,1
1611,electro_cute,1610,AngelClemente,1
1612,AngelesSolisArcinas,1613,angeles_sasuke,1
1613,angeles_sasuke,1612,AngelesSolisArcinas,1
1614,AngeloNapolillo,1615,modaholic,1
1615,modaholic,1614,AngeloNapolillo,1
1616,AnjoMiranda,1617,anjomiranda,1
1617,anjomiranda,1616,AnjoMiranda,1
1618,AnkurJangrapammo,1619,ankurjangra,1
1619,ankurjangra,1618,AnkurJangrapammo,1
1620,AnnKira,1621,ann_kira,1
1621,ann_kira,1620,AnnKira,1
1622,BobDuck,1623,anonymousyoshi,1
1623,anonymousyoshi,1622,BobDuck,1
1624,AnthonyLin,1625,anthonylin,1
1625,anthonylin,1624,AnthonyLin,1
1626,anthonyguanio,1627,anthonovich,1
1627,anthonovich,1626,anthonyguanio,1
1628,AnthonyNewsom,1629,antnewsom,1
1629,antnewsom,1628,AnthonyNewsom,1
1630,AnyaMeou,1631,babyanyuta,1
1631,babyanyuta,1630,AnyaMeou,1
1632,ApriljoyRios,1633,nikitashiin,1
1633,nikitashiin,1632,ApriljoyRios,1
1634,ArielMarques,1635,ariel.marques,1
1635,ariel.marques,1634,ArielMarques,1
1636,ArmandoTheThird,1637,armando_lee,1
1637,armando_lee,1636,ArmandoTheThird,1
1638,ArtSchultz13,1639,artschultz13,1
1639,artschultz13,1638,ArtSchultz13,1
1640,AshleyWann,1641,vigilantesilver,1
1641,vigilantesilver,1640,AshleyWann,1
1642,AshrafHamdy,1643,ashraphique,1
1643,ashraphique,1642,AshrafHamdy,1
1644,AtifSiddiqui,1645,atified,1
1645,atified,1644,AtifSiddiqui,1
1646,EjAyalde,1647,ayaldev,1
1647,ayaldev,1646,EjAyalde,1
1648,AyushRastogi1202,1649,ayush1202,1
1649,ayush1202,1648,AyushRastogi1202,1
1650,AzkaSavanti,1651,azkasavanti,1
1651,azkasavanti,1650,AzkaSavanti,1
1652,ReubenBedingfield,1653,badvoodoo,1
1653,badvoodoo,1652,ReubenBedingfield,1
1654,BastiHansenCom,1655,bastihansen,1
1655,bastihansen,1654,BastiHansenCom,1
1656,BeauParry,1657,beau_parry34,1
1657,beau_parry34,1656,BeauParry,1
1658,BenAlexander,1659,mistahben,1
1659,mistahben,1658,BenAlexander,1
1660,BenediktSebastian,1661,benediktsebastian,1
1661,benediktsebastian,1660,BenediktSebastian,1
1662,BenKasselmann,1663,benkasselmann,1
1663,benkasselmann,1662,BenKasselmann,1
1664,BenTichenor,1665,bennytiche,1
1665,bennytiche,1664,BenTichenor,1
1666,BerkerAtasen,1667,atasenberker,1
1667,atasenberker,1666,BerkerAtasen,1
1668,BernardoDeNiz,1669,bernardodeniz,1
1669,bernardodeniz,1668,BernardoDeNiz,1
1670,BernardShuford,1671,bernardshuford,1
1671,bernardshuford,1670,BernardShuford,1
1672,BethanyMiller,1673,bethanyjjmiller,1
1673,bethanyjjmiller,1672,BethanyMiller,1
1674,BethSanders,1675,mssandersecs,1
1675,mssandersecs,1674,BethSanders,1
1676,BertaGMadruga,1677,bertuskatruska,1
1677,bertuskatruska,1676,BertaGMadruga,1
1678,BlakeAyers,1679,blakejayers,1
1679,blakejayers,1678,BlakeAyers,1
1680,SteffanCooks,1681,blaq_magiq,1
1681,blaq_magiq,1680,SteffanCooks,1
1682,BrianBernhard,1683,blightproductions,1
1683,blightproductions,1682,BrianBernhard,1
1684,BobbyBlue,1685,bobby4blue,1
1685,bobby4blue,1684,BobbyBlue,1
1686,VladimirSkiyLine,1687,vladsken,1
1687,vladsken,1686,VladimirSkiyLine,1
1688,BrianMonzingo,1689,bmonzing,1
1689,bmonzing,1688,BrianMonzingo,1
1690,JazzLaVie,1691,brabul,1
1691,brabul,1690,JazzLaVie,1
1692,BrahmWindeler,1693,brahmwindeler,1
1693,brahmwindeler,1692,BrahmWindeler,1
1694,BrandonChiang,1695,brandonchiang,1
1695,brandonchiang,1694,BrandonChiang,1
1696,BrendaZaniuk,1697,besseta,1
1697,besseta,1696,BrendaZaniuk,1
1698,BrettAljets,1699,brettaljets,1
1699,brettaljets,1698,BrettAljets,1
1700,bmoss,1701,brianmossart,1
1701,brianmossart,1700,bmoss,1
1702,BrianRByrnes,1703,perfesserbb,1
1703,perfesserbb,1702,BrianRByrnes,1
1704,BridgetChristian,1705,shinymama,1
1705,shinymama,1704,BridgetChristian,1
1706,BrunoToledoo,1707,brunutoledo,1
1707,brunutoledo,1706,BrunoToledoo,1
1708,BrydenMcGrath,1709,bryden13,1
1709,bryden13,1708,BrydenMcGrath,1
1710,FikriBuchari,1711,fikribuchari,1
1711,fikribuchari,1710,FikriBuchari,1
1712,BumiSasongkosolo,1713,batikbumi,1
1713,batikbumi,1712,BumiSasongkosolo,1
1714,BogdanZyryanov,1715,givenbyg0d,1
1715,givenbyg0d,1714,BogdanZyryanov,1
1716,CanBEKCAN,1717,canbekcan,1
1717,canbekcan,1716,CanBEKCAN,1
1718,CanKngr,1719,abilerimablalarim,1
1719,abilerimablalarim,1718,CanKngr,1
1720,CarlosGarita,1721,charliedigitalcr,1
1721,charliedigitalcr,1720,CarlosGarita,1
1722,CarlosPacheco,1723,carlospacheco,1
1723,carlospacheco,1722,CarlosPacheco,1
1724,CarlosRivera,1725,carlos_rivera_torres,1
1725,carlos_rivera_torres,1724,CarlosRivera,1
1726,RaquelRif,1727,raquelrifa,1
1727,raquelrifa,1726,RaquelRif,1
1728,CarolCustodio,1729,the_awesomist,1
1729,the_awesomist,1728,CarolCustodio,1
1730,CaseyFraites,1731,caseyfraites,1
1731,caseyfraites,1730,CaseyFraites,1
1732,BingjunLi,1733,lbj96347,1
1733,lbj96347,1732,BingjunLi,1
1734,CatherineSunYo,1735,csun,1
1735,csun,1734,CatherineSunYo,1
1736,ChadKluge,1737,chadvertisingkluge,1
1737,chadvertisingkluge,1736,ChadKluge,1
1738,ChandanV,1739,chandanv89,1
1739,chandanv89,1738,ChandanV,1
1740,elf,1741,chenshaoju,1
1741,chenshaoju,1740,elf,1
1742,CheranRatnam,1743,smilander87,1
1743,smilander87,1742,CheranRatnam,1
1744,ChristianRodrguezFerrndez,1745,kristin365,1
1745,kristin365,1744,ChristianRodrguezFerrndez,1
1746,ChrisCharabaruk,1747,charabaruk,1
1747,charabaruk,1746,ChrisCharabaruk,1
1748,ChrisMcCordJediKnight,1749,chrisjmccord,1
1749,chrisjmccord,1748,ChrisMcCordJediKnight,1
1750,ChrisKilbourn,1751,chriskilbourn,1
1751,chriskilbourn,1750,ChrisKilbourn,1
1752,ChrisOlewnik,1753,chris_digitalphotos,1
1753,chris_digitalphotos,1752,ChrisOlewnik,1
1754,ChrisVriend,1755,mistervriend,1
1755,mistervriend,1754,ChrisVriend,1
1756,PatrickCinderflame,1757,cinderflame,1
1757,cinderflame,1756,PatrickCinderflame,1
1758,CindyHolman,1759,cindyholman_,1
1759,cindyholman_,1758,CindyHolman,1
1760,CristyanJ.Moreno,1761,el_crysto,1
1761,el_crysto,1760,CristyanJ.Moreno,1
1762,ClaudiaMirandaGhostmeat,1763,ghostmeat,1
1763,ghostmeat,1762,ClaudiaMirandaGhostmeat,1
1764,CharlesLeggett,1765,chleggett,1
1765,chleggett,1764,CharlesLeggett,1
1766,CliveRoach,1767,cliveroach,1
1767,cliveroach,1766,CliveRoach,1
1768,CodyCooper,1769,codyc1515,1
1769,codyc1515,1768,CodyCooper,1
1770,MarioColque,1771,mariocolque,1
1771,mariocolque,1770,MarioColque,1
1772,CarolineCordier,1773,cordiervoodoo,1
1773,cordiervoodoo,1772,CarolineCordier,1
1774,CoreySpicer,1775,goprospicer,1
1775,goprospicer,1774,CoreySpicer,1
1776,CornGuo,1777,cornguo,1
1777,cornguo,1776,CornGuo,1
1778,CraigPilcher,1779,thepilch86,1
1779,thepilch86,1778,CraigPilcher,1
1780,JulmerOlivero,1781,craftersama,1
1781,craftersama,1780,JulmerOlivero,1
1782,CristianoR.Ribeiro,1783,_lpc1,1
1783,_lpc1,1782,CristianoR.Ribeiro,1
1784,CRISTINNACIOCOIU,1785,cristinnaciocoiu,1
1785,cristinnaciocoiu,1784,CRISTINNACIOCOIU,1
1786,CurtSumners,1787,lincolnmgmt,1
1787,lincolnmgmt,1786,CurtSumners,1
1788,WillWilson,1789,cynispin,1
1789,cynispin,1788,WillWilson,1
1790,CynthiaSimmonsTaylor,1791,cynthia_simmons_music,1
1791,cynthia_simmons_music,1790,CynthiaSimmonsTaylor,1
1792,CyrilChiu,1793,dkcy,1
1793,dkcy,1792,CyrilChiu,1
1794,DADOShapper,1795,dadoshapper,1
1795,dadoshapper,1794,DADOShapper,1
1796,DafzThomasPersonal,1797,dafzthomas,1
1797,dafzthomas,1796,DafzThomasPersonal,1
1798,DaisyWillems,1799,rebelleke4,1
1799,rebelleke4,1798,DaisyWillems,1
1800,DaleAceron,1801,sub_runner,1
1801,sub_runner,1800,DaleAceron,1
1802,DanFoster,1803,prdanfoster,1
1803,prdanfoster,1802,DanFoster,1
1804,DanielRamrezMoreno,1805,dnramirezm,1
1805,dnramirezm,1804,DanielRamrezMoreno,1
1806,DanielleErickson24,1807,ericksondm24,1
1807,ericksondm24,1806,DanielleErickson24,1
1808,DanielKrueger1,1809,d13vk,1
1809,d13vk,1808,DanielKrueger1,1
1810,DannyJPalmer,1811,mrpalmerteacher,1
1811,mrpalmerteacher,1810,DannyJPalmer,1
1812,DaniloVitoriano,1813,danvitoriano,1
1813,danvitoriano,1812,DaniloVitoriano,1
1814,DarylBrown_darylhb,1815,darylhb,1
1815,darylhb,1814,DarylBrown_darylhb,1
1816,DaveAllenatBeats,1817,daveallen,1
1817,daveallen,1816,DaveAllenatBeats,1
1818,DaveVisaya,1819,miyoy,1
1819,miyoy,1818,DaveVisaya,1
1820,DaveRobertson,1821,mrdaverobbo,1
1821,mrdaverobbo,1820,DaveRobertson,1
1822,DavidBurgess81,1823,davidnburgess,1
1823,davidnburgess,1822,DavidBurgess81,1
1824,DavidCrompton,1825,crompsy,1
1825,crompsy,1824,DavidCrompton,1
1826,DavorZeljkovic,1827,majablan,1
1827,majablan,1826,DavorZeljkovic,1
1828,ThayaneMiranda,1829,gaspar_x,1
1829,gaspar_x,1828,ThayaneMiranda,1
1830,DeviFabiola,1831,dudepanai,1
1831,dudepanai,1830,DeviFabiola,1
1832,DavidMoreno,1833,deivizzwhite,1
1833,deivizzwhite,1832,DavidMoreno,1
1834,DelphCereser,1835,delphcereser,1
1835,delphcereser,1834,DelphCereser,1
1836,DenaRosko,1837,dena_michele,1
1837,dena_michele,1836,DenaRosko,1
1838,DeniseReedRealtor,1839,denisereed25,1
1839,denisereed25,1838,DeniseReedRealtor,1
1840,DevDas10,1841,theshutterific,1
1841,theshutterific,1840,DevDas10,1
1842,AlfredoAndaluzPrado,1843,devilsoulblack,1
1843,devilsoulblack,1842,AlfredoAndaluzPrado,1
1844,DeviNasution,1845,devoonst,1
1845,devoonst,1844,DeviNasution,1
1846,DGHollums,1847,argon52,1
1847,argon52,1846,DGHollums,1
1848,DhanangAPratama,1849,dhafian,1
1849,dhafian,1848,DhanangAPratama,1
1850,DianaMahmoud,1851,trailingspouse1,1
1851,trailingspouse1,1850,DianaMahmoud,1
1852,diegoandresdelgadosantos,1853,diegoandres1012,1
1853,diegoandres1012,1852,diegoandresdelgadosantos,1
1854,diegoospinadiegozpy,1855,diego_ozpy,1
1855,diego_ozpy,1854,diegoospinadiegozpy,1
1856,DimasWu,1857,dimaswu,1
1857,dimaswu,1856,DimasWu,1
1858,DipayanBhattacharjee,1859,dipayan_bhattacharjee,1
1859,dipayan_bhattacharjee,1858,DipayanBhattacharjee,1
1860,AzizKhalid,1861,disputed,1
1861,disputed,1860,AzizKhalid,1
1862,Divadellecurve,1863,divadellecurve,1
1863,divadellecurve,1862,Divadellecurve,1
1864,DavidMasParres,1865,esto_es_un_curriculum,1
1865,esto_es_un_curriculum,1864,DavidMasParres,1
1866,AlexanderUlanovsky,1867,dizzzaster,1
1867,dizzzaster,1866,AlexanderUlanovsky,1
1868,djGoddessa,1869,djgoddessa,1
1869,djgoddessa,1868,djGoddessa,1
1870,DmitriyPustovalovpage,1871,dima_pustovalov,1
1871,dima_pustovalov,1870,DmitriyPustovalovpage,1
1872,AnjaTufina,1873,dollsfactory,1
1873,dollsfactory,1872,AnjaTufina,1
1874,DominicMercier,1875,billy_pilgrim,1
1875,billy_pilgrim,1874,DominicMercier,1
1876,DomizianoGalia,1877,domizianogalia,1
1877,domizianogalia,1876,DomizianoGalia,1
1878,DonaldPeterson,1879,cotu_vib,1
1879,cotu_vib,1878,DonaldPeterson,1
1880,DonglinLi,1881,realjons,1
1881,realjons,1880,DonglinLi,1
1882,DooitzedeJong,1883,dooitzedejong,1
1883,dooitzedejong,1882,DooitzedeJong,1
1884,Dm.Pal,1885,dpalx,1
1885,dpalx,1884,Dm.Pal,1
1886,DrewLittle1983,1887,imdrewlittle,1
1887,imdrewlittle,1886,DrewLittle1983,1
1888,ChanceMiller,1889,dunn32,1
1889,dunn32,1888,ChanceMiller,1
1890,DavidYun,1891,daveybrown,1
1891,daveybrown,1890,DavidYun,1
1892,EarvinCorona,1893,monstervinvin,1
1893,monstervinvin,1892,EarvinCorona,1
1894,enricbastardas,1895,henry2095,1
1895,henry2095,1894,enricbastardas,1
1896,EdJohnsonPresentsNERD,1897,edjohnsonnerd,1
1897,edjohnsonnerd,1896,EdJohnsonPresentsNERD,1
1898,EkiHartari,1899,ekihartari,1
1899,ekihartari,1898,EkiHartari,1
1900,EstefanEjoteMartellAmuchstegui,1901,ejote,1
1901,ejote,1900,EstefanEjoteMartellAmuchstegui,1
1902,DominikHorvath,1903,eldoradoart,1
1903,eldoradoart,1902,DominikHorvath,1
1904,EleanoreWood,1905,ellienore,1
1905,ellienore,1904,EleanoreWood,1
1906,EleonoraGentili,1907,nonoca82,1
1907,nonoca82,1906,EleonoraGentili,1
1908,ElvisKamuhanga,1909,lazydaprince,1
1909,lazydaprince,1908,ElvisKamuhanga,1
1910,emilwu,1911,emilwu,1
1911,emilwu,1910,emilwu,1
1912,MarianelaSantilln,1913,emmapeel___,1
1913,emmapeel___,1912,MarianelaSantilln,1
1914,EPhilz,1915,ephilz730,1
1915,ephilz730,1914,EPhilz,1
1916,ErenAhmetolu,1917,erenahmetoglu,1
1917,erenahmetoglu,1916,ErenAhmetolu,1
1918,EricReberBalefire,1919,balefireatl,1
1919,balefireatl,1918,EricReberBalefire,1
1920,ErinBoykin,1921,erinboykin,1
1921,erinboykin,1920,ErinBoykin,1
1922,ErnestCustodio,1923,ernestcustodio,1
1923,ernestcustodio,1922,ErnestCustodio,1
1924,ElizabethE.,1925,esbeydi,1
1925,esbeydi,1924,ElizabethE.,1
1926,DanielAguileraJimenez,1927,escoti9,1
1927,escoti9,1926,DanielAguileraJimenez,1
1928,EugeneNikiforov,1929,twisted_mind,1
1929,twisted_mind,1928,EugeneNikiforov,1
1930,EvanGolden,1931,goldentv,1
1931,goldentv,1930,EvanGolden,1
1932,EwaldThueringer,1933,ewald_thueringer,1
1933,ewald_thueringer,1932,EwaldThueringer,1
1934,AyoEkundayo,1935,bonwitjesus,1
1935,bonwitjesus,1934,AyoEkundayo,1
1936,EzaikooniPerg(ezaikooni),1937,ezaikooni,1
1937,ezaikooni,1936,EzaikooniPerg(ezaikooni),1
1938,EzginGltekinKALEBA,1939,ezginkalebas,1
1939,ezginkalebas,1938,EzginGltekinKALEBA,1
1940,FabianoCamposBio,1941,fabianopcampos,1
1941,fabianopcampos,1940,FabianoCamposBio,1
1942,FabrizioValenza,1943,fabrizioval1972,1
1943,fabrizioval1972,1942,FabrizioValenza,1
1944,FadhilahHasbullah,1945,fadhilah,1
1945,fadhilah,1944,FadhilahHasbullah,1
1946,AnaBaxter,1947,annabaxterlpc,1
1947,annabaxterlpc,1946,AnaBaxter,1
1948,FeFeJohnson,1949,fefejohnson,1
1949,fefejohnson,1948,FeFeJohnson,1
1950,FelipeIgnacioFuentealba,1951,felipefuentealba,1
1951,felipefuentealba,1950,FelipeIgnacioFuentealba,1
1952,FelipeBirgman,1953,felpsbirgman,1
1953,felpsbirgman,1952,FelipeBirgman,1
1954,FendyKusumaWardhana,1955,danzkusuma,1
1955,danzkusuma,1954,FendyKusumaWardhana,1
1956,FernandoCebolla,1957,fernandocebolla,1
1957,fernandocebolla,1956,FernandoCebolla,1
1958,FilippoAlbertin,1959,filippoalbertin75,1
1959,filippoalbertin75,1958,FilippoAlbertin,1
1960,ChristinaBentheim,1961,wordsnpixchic,1
1961,wordsnpixchic,1960,ChristinaBentheim,1
1962,uOttawaCatalyst,1963,adventurewithashley,1
1963,adventurewithashley,1962,uOttawaCatalyst,1
1964,MikeChaput,1965,fourtwoseven,1
1965,fourtwoseven,1964,MikeChaput,1
1966,FranciscoPerezdelHoyo,1967,fperezdp,1
1967,fperezdp,1966,FranciscoPerezdelHoyo,1
1968,FrancisCapote,1969,franciscapote,1
1969,franciscapote,1968,FrancisCapote,1
1970,FrankAzcona,1971,frankazcona,1
1971,frankazcona,1970,FrankAzcona,1
1972,FrankMohnhaupt,1973,tcacco,1
1973,tcacco,1972,FrankMohnhaupt,1
1974,freddypbPaez,1975,freddypb,1
1975,freddypb,1974,freddypbPaez,1
1976,FundaSeydem,1977,fundasydmm,1
1977,fundasydmm,1976,FundaSeydem,1
1978,FUNKGUMBORADIO,1979,funkgumboradio,1
1979,funkgumboradio,1978,FUNKGUMBORADIO,1
1980,edgargustavoascenciojimenez,1981,g41j1n,1
1981,g41j1n,1980,edgargustavoascenciojimenez,1
1982,GabrielChapuDiaz,1983,chapurc44,1
1983,chapurc44,1982,GabrielChapuDiaz,1
1984,GerardJoffre,1985,gjoffre,1
1985,gjoffre,1984,GerardJoffre,1
1986,NerlineGermain,1987,chicfromhair2toe,1
1987,chicfromhair2toe,1986,NerlineGermain,1
1988,GlennRobinsongetgln,1989,getgln,1
1989,getgln,1988,GlennRobinsongetgln,1
1990,JamesButcher,1991,butchishere,1
1991,butchishere,1990,JamesButcher,1
1992,giorgioungania,1993,giorgiodubai,1
1993,giorgiodubai,1992,giorgioungania,1
1994,GiulianoDeLuca,1995,giuleon,1
1995,giuleon,1994,GiulianoDeLuca,1
1996,GlennZucman,1997,glenn_irs,1
1997,glenn_irs,1996,GlennZucman,1
1998,JackGlobeTrotr,1999,globetrotr,1
1999,globetrotr,1998,JackGlobeTrotr,1
2000,GordonReid,2001,gordsreid_,1
2001,gordsreid_,2000,GordonReid,1
2002,GregChambers,2003,gregchambers,1
2003,gregchambers,2002,GregChambers,1
2004,GregoryVanVorhis,2005,iawlfan,1
2005,iawlfan,2004,GregoryVanVorhis,1
2006,GrimmJones560,2007,grimm560,1
2007,grimm560,2006,GrimmJones560,1
2008,gustavoortizserrano,2009,gusdigital,1
2009,gusdigital,2008,gustavoortizserrano,1
2010,VanessaLeggard,2011,hamptonsmpiece,1
2011,hamptonsmpiece,2010,VanessaLeggard,1
2012,HassanShurrab,2013,hasan.shurrab,1
2013,hasan.shurrab,2012,HassanShurrab,1
2014,HazimieAbdulKarim,2015,hazimie,1
2015,hazimie,2014,HazimieAbdulKarim,1
2016,HeatherWeaver00,2017,chaoticgood,1
2017,chaoticgood,2016,HeatherWeaver00,1
2018,HeidiAnneMorrisPhotography,2019,italianspinonegifts,1
2019,italianspinonegifts,2018,HeidiAnneMorrisPhotography,1
2020,IzwanHelmiMohdMokhtar,2021,helmimokhtar,1
2021,helmimokhtar,2020,IzwanHelmiMohdMokhtar,1
2022,HenarLanchasLpez,2023,hlanchas,1
2023,hlanchas,2022,HenarLanchasLpez,1
2024,HenriqueJ.Pereira,2025,henriquejeez,1
2025,henriquejeez,2024,HenriqueJ.Pereira,1
2026,HenryStradford,2027,henrystradford,1
2027,henrystradford,2026,HenryStradford,1
2028,HeroeCandra,2029,heroecandra,1
2029,heroecandra,2028,HeroeCandra,1
2030,HersheyDesai,2031,hersheydesai,1
2031,hersheydesai,2030,HersheyDesai,1
2032,HesamEsfahlani,2033,jazire,1
2033,jazire,2032,HesamEsfahlani,1
2034,HildeOrens,2035,hildeorens,1
2035,hildeorens,2034,HildeOrens,1
2036,HillaryHawkins,2037,hhawk,1
2037,hhawk,2036,HillaryHawkins,1
2038,HiralPandya,2039,hiral_pandya,1
2039,hiral_pandya,2038,HiralPandya,1
2040,holmanalbarracin,2041,hollmin,1
2041,hollmin,2040,holmanalbarracin,1
2042,ChrisMcFarland,2043,homernet,1
2043,homernet,2042,ChrisMcFarland,1
2044,HugoRodriguesAPR,2045,hugoapr,1
2045,hugoapr,2044,HugoRodriguesAPR,1
2046,HugoColombini,2047,purgao,1
2047,purgao,2046,HugoColombini,1
2048,SoumyaMukherjee,2049,ramblersm,1
2049,ramblersm,2048,SoumyaMukherjee,1
2050,IanDawsonMackay,2051,nextlevelguydotcom,1
2051,nextlevelguydotcom,2050,IanDawsonMackay,1
2052,IanFoss,2053,ianfoss,1
2053,ianfoss,2052,IanFoss,1
2054,rodrigoandreshidalgoramos,2055,elxzander,1
2055,elxzander,2054,rodrigoandreshidalgoramos,1
2056,img75,2057,img75,1
2057,img75,2056,img75,1
2058,VeerayuthK,2059,indsm,1
2059,indsm,2058,VeerayuthK,1
2060,RachitSachdevaRS,2061,rachitsach,1
2061,rachitsach,2060,RachitSachdevaRS,1
2062,IslamEtman,2063,islam_etman,1
2063,islam_etman,2062,IslamEtman,1
2064,IsmaRammwilliams,2065,rammwilliams,1
2065,rammwilliams,2064,IsmaRammwilliams,1
2066,StevenXue,2067,stevenxuex,1
2067,stevenxuex,2066,StevenXue,1
2068,JaimeRCarrero,2069,carrerophoto,1
2069,carrerophoto,2068,JaimeRCarrero,1
2070,JeffAkly,2071,jakly,1
2071,jakly,2070,JeffAkly,1
2072,JamesCooperWare,2073,jcware,1
2073,jcware,2072,JamesCooperWare,1
2074,JamieMacDonald,2075,macdonald_photo,1
2075,macdonald_photo,2074,JamieMacDonald,1
2076,jamiemadden,2077,jamiemadden,1
2077,jamiemadden,2076,jamiemadden,1
2078,JanAnkerstjerne,2079,jaznet,1
2079,jaznet,2078,JanAnkerstjerne,1
2080,JanaSeitzer1,2081,merlotmommy,1
2081,merlotmommy,2080,JanaSeitzer1,1
2082,JanessaSmith,2083,knockoutness,1
2083,knockoutness,2082,JanessaSmith,1
2084,JasonAdsit,2085,jasonadsit,1
2085,jasonadsit,2084,JasonAdsit,1
