Original_location,Location_raw,Location_clean,Location_type,Location_valid,Latitude,Longitude
,,,unknown,0,,
"Portsmouth, NH","portsmouth, nh","portsmouth, nh",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Buffalo, NY","buffalo, ny","buffalo, ny",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"New Fairfield, CT, USA","new fairfield, ct, usa","new fairfield, ct, usa",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"London, Middle-east, Asia","london, middle-east, asia","london, middle-east, asia",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Queensland, Australia","queensland, australia","queensland, australia",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Seattle, WA","seattle, wa","seattle, wa",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Staffordshire,staffordshire,staffordshire,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Santa Fe, NM","santa fe, nm","santa fe, nm",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
fort wayne,fort wayne,fort wayne,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"England, United Kingdom","england, united kingdom","england, united kingdom",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Rhode Island,rhode island,rhode island,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Liberty Hill, TX","liberty hill, tx","liberty hill, tx",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Dallas, Grapevine, Texas, TX","dallas, grapevine, texas, tx","dallas, grapevine, texas, tx",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Seattle, WA","seattle, wa","seattle, wa",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Melbourne,melbourne,melbourne,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"George, Western Cape","george, western cape","george, western cape",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
"New Philadelphia, OH","new philadelphia, oh","new philadelphia, oh",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
San Francisco Bay Area,san francisco bay area,san francisco bay area,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Lima,lima,lima,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
大分→神奈川→星の見える場所,→→,,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Marietta, GA","marietta, ga","marietta, ga",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
BIT Library,bit library,bit library,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Madrid (Spain),madrid (spain),madrid spain,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Quito - Ecuador,quito - ecuador,quito - ecuador,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"37.360152,-5.988278","37.360152,-5.988278","37.360152,-5.988278",coordinates,1,37.360152,-5.988278
,,,unknown,0,,
,,,unknown,0,,
"Santiago, Chile","santiago, chile","santiago, chile",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Barcelona,barcelona,barcelona,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Curitiba, Brazil","curitiba, brazil","curitiba, brazil",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
Bucharest,bucharest,bucharest,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Bucharest,bucharest,bucharest,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Milano,milano,milano,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Washington, DC","washington, dc","washington, dc",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
Vancouver BC,vancouver bc,vancouver bc,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Austin, TX","austin, tx","austin, tx",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Irvine, CA","irvine, ca","irvine, ca",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Boston,boston,boston,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Garden Grove, CA","garden grove, ca","garden grove, ca",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Where the #Data is,where the #data is,where the data is,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
California,california,california,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
New York,new york,new york,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Chicago (home airport ;^),chicago (home airport ;^),chicago home airport ,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
JP & PH,jp & ph,jp  ph,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Portland, OR","portland, or","portland, or",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Ibitinga, SP","ibitinga, sp","ibitinga, sp",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Bilbao,bilbao,bilbao,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Germany between the wars,germany between the wars,germany between the wars,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Ponca City, OK","ponca city, ok","ponca city, ok",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Oceanside, CA","oceanside, ca","oceanside, ca",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"St. Louis, MO.","st. louis, mo.","st. louis, mo.",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
"Whistler, BC","whistler, bc","whistler, bc",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"New Hampshire, USA","new hampshire, usa","new hampshire, usa",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Kuching,kuching,kuching,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Madrid, Spain","madrid, spain","madrid, spain",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Rio de Janeiro, Brasil","rio de janeiro, brasil","rio de janeiro, brasil",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Tunja, Colombia","tunja, colombia","tunja, colombia",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Berlin, Germany","berlin, germany","berlin, germany",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Somewhere north of SF, CA","somewhere north of sf, ca","somewhere north of sf, ca",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Alexandrie,alexandrie,alexandrie,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Minneapolis,minneapolis,minneapolis,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Miami,miami,miami,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Issy-les-Moulineaux, France","issy-les-moulineaux, france","issy-les-moulineaux, france",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Dallas, TX","dallas, tx","dallas, tx",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Huzhou, Zhejiang, China","huzhou, zhejiang, china","huzhou, zhejiang, china",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
United States,united states,united states,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Kampung Taman - Ngayogyakarta,kampung taman - ngayogyakarta,kampung taman - ngayogyakarta,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Columbus, OH","columbus, oh","columbus, oh",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Baltimore, Maryland","baltimore, maryland","baltimore, maryland",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Madiun - Depok,madiun - depok,madiun - depok,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Portland, OR","portland, or","portland, or",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
localhost,localhost,localhost,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
"San Francisco, CA","san francisco, ca","san francisco, ca",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Vancouver, British Columbia","vancouver, british columbia","vancouver, british columbia",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Los Angeles,los angeles,los angeles,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Portland, OR","portland, or","portland, or",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Miami Beach, FL","miami beach, fl","miami beach, fl",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"London & Farnham, UK","london & farnham, uk","london  farnham, uk",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Vancouver, BC Canada","vancouver, bc canada","vancouver, bc canada",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Dallas, TX, U.S.A.","dallas, tx, u.s.a.","dallas, tx, u.s.a.",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Kuala Lumpur,kuala lumpur,kuala lumpur,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Milan,milan,milan,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Lisbon, Portugal","lisbon, portugal","lisbon, portugal",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Houston, TX","houston, tx","houston, tx",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Las Cruces, NM","las cruces, nm","las cruces, nm",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Belgrade, Serbia","belgrade, serbia","belgrade, serbia",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Atlanta GA,atlanta ga,atlanta ga,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"London, UK","london, uk","london, uk",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Cuauhtémoc, D.f., México","cuauhtémoc, d.f., méxico","cuauhtémoc, d.f., méxico",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Atlanta, GA","atlanta, ga","atlanta, ga",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Atlanta, GA","atlanta, ga","atlanta, ga",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Wiscasset, Maine","wiscasset, maine","wiscasset, maine",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Schweiz, Bern","schweiz, bern","schweiz, bern",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Alabama,alabama,alabama,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Australia,australia,australia,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"San Diego, CA","san diego, ca","san diego, ca",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
San Diego,san diego,san diego,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Lower Haight, San Francisco","lower haight, san francisco","lower haight, san francisco",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Melbourne,melbourne,melbourne,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
20 mins in the Future,20 mins in the future,20 mins in the future,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"seattle, WA","seattle, wa","seattle, wa",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
#ATX via #DC,#atx via #dc,atx via dc,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Avignon, France","avignon, france","avignon, france",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
in the South,in the south,in the south,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Cherokee, North Carolina","cherokee, north carolina","cherokee, north carolina",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Denver, CO","denver, co","denver, co",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Columbus, Ohio","columbus, ohio","columbus, ohio",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Devon and Cornwall, UK","devon and cornwall, uk","devon and cornwall, uk",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Bristol,bristol,bristol,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Tulsa, Oklahoma","tulsa, oklahoma","tulsa, oklahoma",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Bodmin, England","bodmin, england","bodmin, england",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Italy/România,italy/românia,italyromânia,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
daniela@hollywood.social,daniela@hollywood.social,danielahollywood.social,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Midland, Texas","midland, texas","midland, texas",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Venezuela,venezuela,venezuela,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Moóca, SP/SP/BR","moóca, sp/sp/br","moóca, spspbr",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Chile, Santiago,Cerrillos.","chile, santiago,cerrillos.","chile, santiago,cerrillos.",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Kansas City, MO","kansas city, mo","kansas city, mo",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Catania,catania,catania,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Victoria, BC","victoria, bc","victoria, bc",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
"Toronto, Canada","toronto, canada","toronto, canada",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Bogotá, Colombia","bogotá, colombia","bogotá, colombia",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Alcorcón, España","alcorcón, españa","alcorcón, españa",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Toronto, Ontario","toronto, ontario","toronto, ontario",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Fort Lauderdale, FL","fort lauderdale, fl","fort lauderdale, fl",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Philadelphia, PA","philadelphia, pa","philadelphia, pa",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Toledo, Ohio","toledo, ohio","toledo, ohio",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Newport Beach, CA","newport beach, ca","newport beach, ca",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"San Luis Obispo, CA","san luis obispo, ca","san luis obispo, ca",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Washington, DC","washington, dc","washington, dc",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Toronto,toronto,toronto,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Chattanooga, TN","chattanooga, tn","chattanooga, tn",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
UK,uk,uk,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
México D.F.,méxico d.f.,méxico d.f.,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Belo Horizonte, Brazil","belo horizonte, brazil","belo horizonte, brazil",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Currently In: New Zealand,currently in: new zealand,currently in new zealand,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Ermesinde, Portugal","ermesinde, portugal","ermesinde, portugal",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Santiago de Chile,santiago de chile,santiago de chile,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Ypsilanti, MI","ypsilanti, mi","ypsilanti, mi",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Madrid,madrid,madrid,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Rio de Janeiro,rio de janeiro,rio de janeiro,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Harvest, AL","harvest, al","harvest, al",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
New York City,new york city,new york city,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Alicante, Spain","alicante, spain","alicante, spain",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Maine,maine,maine,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
"Cibao, #ErreDé: Isla del Drama","cibao, #erredé: isla del drama","cibao, erredé isla del drama",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
"Ukraine, Kiev","ukraine, kiev","ukraine, kiev",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
New York City,new york city,new york city,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Fortaleza - CE. Brasil,fortaleza - ce. brasil,fortaleza - ce. brasil,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Cascavel, Brasil","cascavel, brasil","cascavel, brasil",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Venice Area - Italy,venice area - italy,venice area - italy,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Bergamo (Italy),bergamo (italy),bergamo italy,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Santo André,santo andré,santo andré,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Valencia, Madrid, Barcelona ES","valencia, madrid, barcelona es","valencia, madrid, barcelona es",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Texas,texas,texas,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Kalamazoo, Michigan","kalamazoo, michigan","kalamazoo, michigan",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Washington, DC","washington, dc","washington, dc",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Takeley & Norwich,takeley & norwich,takeley  norwich,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
Seattle,seattle,seattle,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Miami, FL","miami, fl","miami, fl",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
"Jakarta, Indonesia","jakarta, indonesia","jakarta, indonesia",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"29.59514,-95.147225","29.59514,-95.147225","29.59514,-95.147225",coordinates,1,29.59514,-95.147225
,,,unknown,0,,
,,,unknown,0,,
"San Francisco, CA","san francisco, ca","san francisco, ca",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Montreal, Quebec","montreal, quebec","montreal, quebec",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Austin, TX","austin, tx","austin, tx",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Franklin, TN","franklin, tn","franklin, tn",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
NYC,nyc,nyc,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Singapore,singapore,singapore,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Dominican Republic,dominican republic,dominican republic,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Austin, TX","austin, tx","austin, tx",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Singapore,singapore,singapore,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Dimension C-137,dimension c-137,dimension c-137,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Philippines,philippines,philippines,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Bayamon, Puerto Rico","bayamon, puerto rico","bayamon, puerto rico",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Thailand,thailand,thailand,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Asti, Italy","asti, italy","asti, italy",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Los Angeles,los angeles,los angeles,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
east or west of there,east or west of there,east or west of there,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Dublin City, Ireland","dublin city, ireland","dublin city, ireland",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Isle of Wight,isle of wight,isle of wight,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Portsmouth, UK","portsmouth, uk","portsmouth, uk",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"San Francisco, CA","san francisco, ca","san francisco, ca",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Johannesburg, South Africa","johannesburg, south africa","johannesburg, south africa",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Leeds, UK","leeds, uk","leeds, uk",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Earth, England,Norwich","earth, england,norwich","earth, england,norwich",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Sydney,sydney,sydney,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Edmonton,edmonton,edmonton,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Caracas - Venezuela,caracas - venezuela,caracas - venezuela,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Seattle, WA","seattle, wa","seattle, wa",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Stockholm,stockholm,stockholm,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
München,münchen,münchen,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Wolverhampton,wolverhampton,wolverhampton,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
New York,new york,new york,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
New York City,new york city,new york city,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
UK,uk,uk,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Los Angeles,los angeles,los angeles,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Gibsons, BC","gibsons, bc","gibsons, bc",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Pittsburgh, PA","pittsburgh, pa","pittsburgh, pa",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Huntsville, AL","huntsville, al","huntsville, al",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
BARCELONA Y ALREDEDORES,barcelona y alrededores,barcelona y alrededores,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Essex, UK","essex, uk","essex, uk",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Llanfyllin, Powys, Wales, UK","llanfyllin, powys, wales, uk","llanfyllin, powys, wales, uk",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Kop van de Wedstrijd,kop van de wedstrijd,kop van de wedstrijd,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Ottawa, Canada","ottawa, canada","ottawa, canada",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Wallingford, CT","wallingford, ct","wallingford, ct",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
San Francisco,san francisco,san francisco,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Detroit,detroit,detroit,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
New Jersey,new jersey,new jersey,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Sacramento, California","sacramento, california","sacramento, california",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Austin, Texas","austin, texas","austin, texas",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"New York, NY","new york, ny","new york, ny",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"47.59812,-122.194415","47.59812,-122.194415","47.59812,-122.194415",coordinates,1,47.59812,-122.194415
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
Canberra,canberra,canberra,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Silver Spring, MD","silver spring, md","silver spring, md",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Lafayette, CO by way of L.A.","lafayette, co by way of l.a.","lafayette, co by way of l.a.",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
United States,united states,united states,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Putnam Valley, NY","putnam valley, ny","putnam valley, ny",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Genève, Switzerland","genève, switzerland","genève, switzerland",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Fredericksburg, VA","fredericksburg, va","fredericksburg, va",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Badalona,badalona,badalona,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Barcelona,barcelona,barcelona,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Vancouver, BC","vancouver, bc","vancouver, bc",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Málaga (España),málaga (españa),málaga españa,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Switzerland,switzerland,switzerland,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Cartagena & Medellín,cartagena & medellín,cartagena  medellín,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Chez Chow,chez chow,chez chow,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Girona,girona,girona,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"New York, NY","new york, ny","new york, ny",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"London, UK","london, uk","london, uk",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
"Tampa, Florida","tampa, florida","tampa, florida",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
"France, Paris + Lille","france, paris + lille","france, paris  lille",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
"Turin, Italy","turin, italy","turin, italy",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Catania - Sicily,catania - sicily,catania - sicily,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Noci, Bari","noci, bari","noci, bari",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"@Torino, Italy","@torino, italy","torino, italy",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Dave TV, Trump Sucks, USA's PP","dave tv, trump sucks, usa's pp","dave tv, trump sucks, usas pp",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Aquileia,aquileia,aquileia,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
NYC,nyc,nyc,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Paris, France","paris, france","paris, france",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"53.85251156,-3.00451865","53.85251156,-3.00451865","53.85251156,-3.00451865",coordinates,1,53.85251156,-3.00451865
,,,unknown,0,,
,,,unknown,0,,
"Salem, OH","salem, oh","salem, oh",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Mexico City,mexico city,mexico city,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"California, USA","california, usa","california, usa",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
Madrid-Peñíscola-Madrid,madrid-peñíscola-madrid,madrid-peñíscola-madrid,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
somewhere on a desert island,somewhere on a desert island,somewhere on a desert island,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Lake Tahoe,lake tahoe,lake tahoe,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
NYC Metro,nyc metro,nyc metro,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
United Kingdom,united kingdom,united kingdom,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
Córdoba - Andalucía - España,córdoba - andalucía - españa,córdoba - andalucía - españa,text_location,1,,
